"project";"AuthorTime";"CommitterTime";"AuthorTimeUnixEpochMilliSecs";"CommitterTimeUnixEpochMilliSecs";"MinutesSincePreviousCommit";"AuthorNominalLabel";"CommitterNominalLabel";"IsInitialCommit";"IsMergeCommit";"NumberOfParentCommits";"ParentCommitSHA1s";"NumberOfFilesAdded";"NumberOfFilesAddedNet";"NumberOfLinesAddedByAddedFiles";"NumberOfLinesAddedByAddedFilesNet";"NumberOfFilesDeleted";"NumberOfFilesDeletedNet";"NumberOfLinesDeletedByDeletedFiles";"NumberOfLinesDeletedByDeletedFilesNet";"NumberOfFilesModified";"NumberOfFilesModifiedNet";"NumberOfFilesRenamed";"NumberOfFilesRenamedNet";"NumberOfLinesAddedByModifiedFiles";"NumberOfLinesAddedByModifiedFilesNet";"NumberOfLinesDeletedByModifiedFiles";"NumberOfLinesDeletedByModifiedFilesNet";"NumberOfLinesAddedByRenamedFiles";"NumberOfLinesAddedByRenamedFilesNet";"NumberOfLinesDeletedByRenamedFiles";"NumberOfLinesDeletedByRenamedFilesNet";"Density";"AffectedFilesRatioNet";"KW_add";"KW_allow";"KW_bug";"KW_chang";"KW_error";"KW_fail";"KW_fix";"KW_implement";"KW_improv";"KW_issu";"KW_method";"KW_new";"KW_npe";"KW_refactor";"KW_remov";"KW_report";"KW_set";"KW_support";"KW_test";"KW_use";"label";"prob_a";"prob_c";"prob_p"
"project_10";"2021-04-18 21:04:11";"2021-04-18 21:04:11";1618779791000;1618779791000;243.0667;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"bb7795cd0d79976eef84ea3e25b17a6a226acf83";2;2;18;15;0;0;0;0;1;1;0;0;4;3;4;3;0;0;0;0;0.80769;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"c";0.219871627969149;0.710273087452174;0.0698552845786775
"project_10";"2021-04-18 21:04:38";"2021-04-18 21:04:38";1618779878000;1618779878000;1.45;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"dc564f3a609cc06675a5bfcc486cf49b9842f14c";0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"p";0.0128707911220458;0.00153636946016327;0.985592839417791
"project_10";"2021-04-18 22:04:17";"2021-04-18 22:04:17";1618784537000;1618784537000;77.65;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"6bc6c9832851eb3d17c0fc76b866aa059fd40650";0;0;0;0;0;0;0;0;4;4;0;0;4;4;6;5;0;0;0;0;0.9;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.00244027759609933;0.993346543600421;0.00421317880347985
"project_10";"2021-04-18 22:04:00";"2021-04-18 22:04:00";1618784760000;1618784760000;3.7167;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"f86d42a98861483d22eb4a519ad49f8d2795dc13";1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.0195257622694692;0.975513700781088;0.00496053694944263
"project_10";"2021-04-19 07:04:40";"2021-04-19 07:04:40";1618817680000;1618817680000;548.6667;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"b74a37f3753e55a69238d0acefb684456dc1a152";0;0;0;0;0;0;0;0;2;2;0;0;154;154;481;481;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;"p";0.000977018187094927;0.000718938229734719;0.99830404358317
"project_10";"2021-04-19 07:04:37";"2021-04-19 07:04:37";1618818397000;1618818397000;11.95;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"685c3af5d9f264021a3aa3ba504779fdcb5dc444";0;0;0;0;0;0;0;0;1;1;0;0;1;1;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.000861787103815306;0.997716343192969;0.00142186970321562
"project_10";"2021-04-19 12:04:22";"2021-04-19 12:04:22";1618836262000;1618836262000;297.75;"L1cd069273ed127a";"L1cd069273ed127a";0;0;1;"6d03e22cd01ad562ec963079c1dab80612e77c98";0;0;0;0;0;0;0;0;5;5;0;0;30;27;5;5;0;0;0;0;0.91429;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.152718310583193;0.728169181979322;0.119112507437485
"project_10";"2021-04-19 14:04:01";"2021-04-19 14:04:01";1618842241000;1618842241000;397.4;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"6d03e22cd01ad562ec963079c1dab80612e77c98";4;3;106;85;0;0;0;0;2;2;0;0;12;12;1;1;0;0;0;0;0.82353;0.83333;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"a";0.996886114826335;0.0011914700844237;0.00192241508924091
"project_10";"2021-04-19 14:04:37";"2021-04-19 14:04:37";1618842337000;1618842337000;1.6;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"370c34236882daa87ff317618f5980b74059ad70";7;1;139;51;0;0;0;0;8;7;0;0;119;104;7;7;0;0;0;0;0.61132;0.53333;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"c";0.29636610795104;0.686530755731408;0.017103136317552
"project_10";"2021-04-19 14:04:22";"2021-04-19 14:04:22";1618842502000;1618842502000;2.75;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"a7285540e9b1a69c1fddb1a3153812d67b8e0abd";0;0;0;0;0;0;0;0;7;7;0;0;66;64;81;67;0;0;0;0;0.89116;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.996988525787536;0.00197536423691358;0.00103610997554998
