"AuthorTime","CommitterTime","AuthorTimeUnixEpochSecs","CommitterTimeUnixEpochSecs","MinutesSincePreviousCommit","AuthorNominalLabel","CommitterNominalLabel","IsInitialCommit","IsMergeCommit","NumberOfParentCommits","NumberOfFilesAdded","NumberOfFilesAddedNet","NumberOfLinesAddedByAddedFiles","NumberOfLinesAddedByAddedFilesNet","NumberOfFilesDeleted","NumberOfFilesDeletedNet","NumberOfLinesDeletedByDeletedFiles","NumberOfLinesDeletedByDeletedFilesNet","NumberOfFilesModified","NumberOfFilesModifiedNet","NumberOfFilesRenamed","NumberOfFilesRenamedNet","NumberOfLinesAddedByModifiedFiles","NumberOfLinesAddedByModifiedFilesNet","NumberOfLinesDeletedByModifiedFiles","NumberOfLinesDeletedByModifiedFilesNet","NumberOfLinesAddedByRenamedFiles","NumberOfLinesAddedByRenamedFilesNet","NumberOfLinesDeletedByRenamedFiles","NumberOfLinesDeletedByRenamedFilesNet","Density","AffectedFilesRatioNet","KW_add","KW_allow","KW_bug","KW_chang","KW_error","KW_fail","KW_fix","KW_implement","KW_improv","KW_issu","KW_method","KW_new","KW_npe","KW_refactor","KW_remov","KW_report","KW_set","KW_support","KW_test","KW_use","label","prob_a","prob_c","prob_p","CommitterTimeObj","AuthorTimeObj"
"2020-04-02 20:04:17","2020-04-02 20:04:17",1585859537,1585859537,60.3667,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.00463059179549432,0.991851269415815,0.00351813878869061,2020-04-02 20:04:17,2020-04-02 20:04:17
"2020-04-02 21:04:29","2020-04-02 21:04:29",1585862129,1585862129,43.2,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"p",0.00171328000868142,0.00239838906612699,0.995888330925192,2020-04-02 21:04:29,2020-04-02 21:04:29
"2020-04-03 10:04:16","2020-04-03 10:04:16",1585909096,1585909096,1157.8833,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,5,10,9,0,0,0,0,0.93333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"p",0.00808070573061265,0.0269888525463981,0.964930441722989,2020-04-03 10:04:16,2020-04-03 10:04:16
"2020-04-03 10:04:19","2020-04-03 10:04:19",1585911079,1585911079,33.05,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"a",0.98360683152969,0.0131230944288338,0.00327007404147597,2020-04-03 10:04:19,2020-04-03 10:04:19
"2020-04-03 10:04:02","2020-04-03 10:04:02",1585911182,1585911182,1.7167,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"p",0.026834390193301,0.273589804429926,0.699575805376773,2020-04-03 10:04:02,2020-04-03 10:04:02
"2020-04-03 12:04:37","2020-04-03 12:04:37",1585915837,1585915837,77.5833,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.00103577720125405,0.996846353385471,0.00211786941327452,2020-04-03 12:04:37,2020-04-03 12:04:37
"2020-04-03 12:04:10","2020-04-03 12:04:10",1585915990,1585915990,2.55,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.00106836297508912,0.996890471639909,0.00204116538500165,2020-04-03 12:04:10,2020-04-03 12:04:10
"2020-04-03 12:04:36","2020-04-03 12:04:36",1585916136,1585916136,2.4333,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,3,0,0,0,0,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.0134658798872226,0.933975826511521,0.052558293601257,2020-04-03 12:04:36,2020-04-03 12:04:36
"2020-04-03 12:04:57","2020-04-03 12:04:57",1585917237,1585917237,18.35,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,41,37,3,3,0,0,0,0,0.90909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.00137720021669851,0.997035619491472,0.00158718029182963,2020-04-03 12:04:57,2020-04-03 12:04:57
"2020-04-03 12:04:35","2020-04-03 12:04:35",1585917395,1585917395,2.6333,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.00372829111198449,0.984101431451671,0.0121702774363447,2020-04-03 12:04:35,2020-04-03 12:04:35
